Date,Open,High,Low,Close,Volume_From,Volume_To,Year
2021-01-01,29388.94,33257.29,29036.26,32203.64,119214.75,3750440817.91,2021
2021-01-02,32203.64,34789.34,32010.59,33063.48,93510.99,3132759314.54,2021
2021-01-03,33063.48,33622.7,28493.29,32030.55,124909.68,3901979149.92,2021
2021-01-04,32030.55,34487.44,29985.29,34038.29,93735.47,3037657026.2,2021
2021-01-05,34038.29,36973.76,33404.2,36849.86,108190.73,3788317475.74,2021
2021-01-06,36849.86,40365.87,36340.01,39479.41,124086.76,4753170180.55,2021
2021-01-07,39479.41,41964.96,36640.51,40636.24,118077.27,4705592327.36,2021
2021-01-08,40636.24,41400.48,38783.61,40236.66,55591.28,2241901362.12,2021
2021-01-09,40236.66,41427.88,35283.65,38202.08,103220.32,3983391028.78,2021
2021-01-10,38202.08,38266.42,30308.4,35496.03,240328.0,8100819368.26,2021
2021-01-11,35496.03,36620.28,32522.98,34058.4,115232.53,3999535589.05,2021
2021-01-12,34058.4,37809.67,32405.89,37380.85,91979.17,3198683391.78,2021
2021-01-13,37380.85,40093.43,36751.89,39155.58,74972.21,2895085049.06,2021
2021-01-14,39155.58,39695.43,34396.19,36790.17,89468.27,3288447634.87,2021
2021-01-15,36790.17,37942.44,35395.88,36025.26,54226.28,1995053500.31,2021
2021-01-16,36025.26,36860.67,33854.83,35839.51,50913.3,1806688237.48,2021
2021-01-17,35839.51,37429.24,34784.4,36623.04,43063.97,1554686784.02,2021
2021-01-18,36623.04,37867.53,35917.28,35932.79,48457.45,1787957383.29,2021
2021-01-19,35932.79,36409.96,33519.59,35501.38,66302.02,2316775667.92,2021
2021-01-20,35501.38,35619.6,30067.14,30840.3,125586.98,4042427455.09,2021
2021-01-21,30840.3,33857.39,28817.3,33008.02,109210.12,3418228006.19,2021
2021-01-22,33008.02,33484.73,31430.15,32107.29,39813.32,1287618530.17,2021
2021-01-23,32107.29,33090.99,30957.56,32283.66,33650.76,1079875602.62,2021
2021-01-24,32283.66,34881.18,31937.09,32275.27,59529.49,1989618039.07,2021
2021-01-25,32275.27,32943.69,30853.17,32516.52,59770.06,1909630282.43,2021
2021-01-26,32516.52,32580.05,29236.73,30423.05,102257.23,3149650799.32,2021
2021-01-27,30423.05,33880.92,29905.53,33443.87,76993.1,2463162479.45,2021
2021-01-28,33443.87,38631.5,31996.08,34252.08,169454.57,6015929349.68,2021
2021-01-29,34252.08,34906.15,32858.0,34317.82,46326.31,1574213551.44,2021
2021-01-30,34317.82,34381.7,32214.08,33143.22,35337.11,1176981986.93,2021
2021-01-31,33143.22,34714.34,32340.24,33535.94,48144.6,1623291067.04,2021
2021-02-01,33535.94,36004.47,33459.48,35524.43,51377.38,1789698965.07,2021
2021-02-02,35524.43,37704.8,35413.72,37677.34,63974.93,2340630205.42,2021
2021-02-03,37677.34,38741.89,36199.19,36983.42,73775.45,2767003411.51,2021
2021-02-04,36983.42,38343.92,36626.5,38310.24,45243.69,1705038314.0,2021
2021-02-05,38310.24,40989.11,38247.96,39267.01,66494.6,2642530408.41,2021
2021-02-06,39267.01,39721.59,37408.16,38868.82,53823.4,2076904733.5,2021
2021-02-07,38868.82,46606.82,38063.87,46437.41,138485.21,5944522159.67,2021
2021-02-08,46437.41,48209.59,45051.46,46509.57,98670.48,4610214635.38,2021
2021-02-09,46509.57,47349.86,43743.99,44854.95,72992.8,3326890835.4,2021
2021-02-10,44854.95,48664.81,44032.66,48006.18,72251.82,3377367971.59,2021
2021-02-11,48006.18,48930.99,46243.85,47435.54,59549.61,2831634659.58,2021
2021-02-12,47435.54,48171.46,46291.19,47222.32,33281.25,1571324550.44,2021
2021-02-13,47222.32,49642.39,47096.92,48652.87,37853.59,1841963034.08,2021
2021-02-14,48652.87,49031.74,45910.0,47936.51,52683.57,2502097939.18,2021
2021-02-15,47936.51,50561.53,47068.63,49184.63,66072.59,3237085085.6,2021
2021-02-16,49184.63,52622.68,48967.72,52154.91,67133.49,3423930178.2,2021
2021-02-17,52154.91,52550.6,50874.81,51591.61,42530.26,2205232619.94,2021
2021-02-18,51591.61,56331.09,50766.83,55933.47,72433.44,3893034056.64,2021
2021-02-19,55933.47,57528.16,54140.61,55900.84,52924.57,2974872569.57,2021
2021-02-20,55900.84,58348.75,55516.07,57469.95,33823.01,1934005633.01,2021
2021-02-21,57469.95,57540.74,48194.31,54121.17,130806.33,6995162441.1,2021
2021-02-22,54121.17,54164.35,44983.39,48898.7,165758.08,8016450648.12,2021
2021-02-23,48898.7,51399.55,47015.55,49738.17,74972.28,3729774704.65,2021
2021-02-24,49738.17,52086.34,46728.88,47082.87,73102.42,3643008748.86,2021
2021-02-25,47082.87,48438.38,44153.46,46324.5,90519.05,4204800171.81,2021
2021-02-26,46324.5,48362.8,45063.84,46191.39,39013.78,1831237567.32,2021
2021-02-27,46191.39,46645.9,43061.92,45261.03,62249.5,2776726256.13,2021
2021-02-28,45261.03,49812.2,45058.98,49635.07,65660.6,3146266419.71,2021
2021-03-01,49635.07,50221.14,47097.84,48501.21,43281.84,2105387914.68,2021
2021-03-02,48501.21,52625.39,48176.64,50392.55,51572.27,2615513552.66,2021
2021-03-03,50392.55,51792.65,47516.91,48363.74,61387.71,3024053725.58,2021
2021-03-04,48363.74,49467.19,46311.43,48775.37,60955.82,2907395734.68,2021
2021-03-05,48775.37,49185.32,47099.07,48892.8,25116.42,1214194643.85,2021
2021-03-06,48892.8,51455.54,48892.8,50964.18,32958.26,1658558074.88,2021
2021-03-07,50964.18,52408.08,49341.09,52405.02,48084.28,2445827949.75,2021
2021-03-08,52405.02,54933.93,51888.98,54928.7,53740.22,2898199576.25,2021
2021-03-09,54928.7,57396.59,53054.34,55893.31,70138.56,3898251700.72,2021
2021-03-10,55893.31,58142.77,54314.65,57809.41,59202.98,3340389094.49,2021
2021-03-11,57809.41,58069.58,55089.68,57256.22,54282.31,3079097934.08,2021
2021-03-12,57256.22,61749.15,56103.32,61179.79,57862.75,3439594034.95,2021
2021-03-13,61179.79,61674.66,58980.95,58998.89,34886.85,2105197604.06,2021
2021-03-14,58998.89,60589.17,54857.68,55665.01,75161.15,4297382088.92,2021
2021-03-15,55665.01,56936.04,53269.13,56925.01,62540.93,3441195999.4,2021
2021-03-16,56925.01,58975.28,54156.11,58909.0,62035.71,3493543493.16,2021
2021-03-17,58909.0,60077.79,57022.2,57643.32,54289.71,3178687259.25,2021
2021-03-18,57643.32,59453.32,56283.37,58060.21,41182.41,2397999967.37,2021
2021-03-19,58060.21,59911.7,57837.79,58101.34,28696.46,1687922804.56,2021
2021-03-20,58101.34,58621.34,55635.61,57374.95,34236.52,1958214099.07,2021
2021-03-21,57374.95,58431.44,53795.78,54095.36,51098.9,2865346861.49,2021
2021-03-22,54095.36,55836.27,52984.36,54355.45,44780.24,2444787014.61,2021
2021-03-23,54355.45,57202.53,51685.15,52303.02,62596.16,3420695083.54,2021
2021-03-24,52303.02,53199.52,50406.31,51336.09,69776.36,3617760373.16,2021
2021-03-25,51336.09,55083.9,51275.54,55055.43,46165.63,2461374478.26,2021
2021-03-26,55055.43,56606.78,53991.0,55863.73,27392.29,1514783182.02,2021
2021-03-27,55863.73,56561.55,54717.97,55781.01,24145.77,1345583216.95,2021
2021-03-28,55781.01,58413.9,54910.57,57626.1,51547.9,2950020309.68,2021
2021-03-29,57626.1,59402.27,57055.21,58781.54,35315.45,2064647135.86,2021
2021-03-30,58781.54,59818.5,56918.81,58793.8,46494.48,2727194335.71,2021
2021-03-31,58793.8,59469.45,57949.11,58730.82,28027.66,1648724834.05,2021
2021-04-01,58730.82,60061.51,58458.46,58987.8,29748.03,1765524921.41,2021
2021-04-02,58987.8,59770.87,56958.04,57074.97,25104.9,1470430519.81,2021
2021-04-03,57074.97,58493.73,56493.38,58219.43,19002.99,1093079652.2,2021
2021-04-04,58219.43,59235.68,56833.44,59119.56,24696.26,1439529332.47,2021
2021-04-05,59119.56,59464.31,57369.44,58010.35,26304.15,1535666142.46,2021
2021-04-06,58010.35,58628.19,55467.58,55951.98,50347.59,2855410824.81,2021
2021-04-07,55951.98,58150.23,55711.07,58084.46,25461.84,1458096433.7,2021
2021-04-08,58084.46,58881.94,57694.22,58106.85,21314.29,1241735091.75,2021
2021-04-09,58106.85,61193.5,57885.43,59784.8,38726.18,2322058695.22,2021
2021-04-10,59784.8,60673.37,59218.25,59980.45,20365.62,1218894531.01,2021
2021-04-11,59980.45,61233.29,59421.37,59845.76,31804.9,1913098388.79,2021
2021-04-12,59845.76,63682.32,59811.31,63558.48,52964.84,3299086696.94,2021
2021-04-13,63558.48,64859.81,61312.98,62964.27,64272.96,4066819695.96,2021
2021-04-14,62964.27,63826.89,62038.33,63233.03,34089.46,2146219571.03,2021
2021-04-15,63233.03,63567.11,60048.13,61416.41,57540.3,3544777400.64,2021
2021-04-16,61416.41,62541.21,59712.92,60056.07,34261.66,2093039585.66,2021
2021-04-17,60056.07,60393.33,52785.1,56246.82,112545.94,6264051811.58,2021
2021-04-18,56246.82,57590.64,54291.08,55680.11,48650.49,2732647682.18,2021
2021-04-19,55680.11,57101.05,53429.73,56496.06,55866.75,3091319805.6,2021
2021-04-20,56496.06,56801.94,53640.81,53803.25,41813.35,2312255459.33,2021
2021-04-21,53803.25,55458.61,50519.78,51717.61,84222.11,4488994737.96,2021
2021-04-22,51717.61,52112.75,47495.24,51178.03,105510.21,5241192198.03,2021
2021-04-23,51178.03,51223.86,48769.48,50115.99,33894.94,1695108976.06,2021
2021-04-24,50115.99,50576.4,47073.07,49120.97,44241.37,2176241676.28,2021
2021-04-24,50115.99,50576.4,47073.07,49120.97,44241.37,2176241676.28,2021
