Date,Open,High,Low,Close,Volume_From,Volume_To,Year
2022-01-01,47737.35,47979.26,46666.18,47306.41,13025.66,615453426.93,2022
2022-01-02,47306.41,47572.23,45707.55,46450.79,21681.38,1011309525.84,2022
2022-01-03,46450.79,47529.48,45587.91,45824.54,29035.93,1349229422.84,2022
2022-01-04,45824.54,47067.18,42510.86,43432.51,47769.2,2152187256.39,2022
2022-01-05,43432.51,43779.23,42468.76,43094.54,36804.78,1585314774.47,2022
2022-01-06,43094.54,43138.79,40750.42,41543.79,51310.46,2146452950.19,2022
2022-01-07,41543.79,42306.77,40534.37,41686.67,27559.19,1143171232.86,2022
2022-01-08,41686.67,42800.66,41237.13,41869.6,21486.68,901652458.82,2022
2022-01-09,41869.6,42251.07,39667.6,41832.59,51976.97,2140270933.32,2022
2022-01-10,41832.59,43122.32,41279.45,42743.03,36554.37,1545270650.68,2022
2022-01-11,42743.03,44293.83,42471.08,43919.67,31859.05,1384575768.8,2022
2022-01-12,43919.67,44442.67,42334.75,42575.61,29159.4,1263083590.1,2022
2022-01-13,42575.61,43467.05,41785.44,43089.83,27290.3,1165100829.55,2022
2022-01-14,43089.83,43811.94,42589.82,43088.74,14075.12,607715303.39,2022
2022-01-15,43088.74,43484.21,42617.07,43100.36,12615.04,543620929.25,2022
2022-01-16,43100.36,43198.05,41571.67,42224.38,20310.91,861459661.83,2022
2022-01-17,42224.38,42682.77,41301.01,42372.75,26287.26,1099916846.37,2022
2022-01-18,42372.75,42575.28,41144.83,41674.8,32436.62,1359832054.32,2022
2022-01-19,41674.8,43513.14,40564.32,40697.03,35135.79,1482814889.83,2022
2022-01-20,40697.03,41116.66,35494.42,36469.3,94195.63,3610621840.61,2022
2022-01-21,36469.3,36811.86,34130.35,35075.92,68447.95,2419705021.17,2022
2022-01-22,35075.92,36539.19,34648.38,36288.15,39599.36,1405386710.59,2022
2022-01-23,36288.15,37469.19,32990.72,36702.79,94597.7,3289034581.3,2022
2022-01-24,36702.79,37555.35,35732.05,36975.99,44562.17,1632275610.85,2022
2022-01-25,36975.99,38930.36,36275.92,36829.37,57460.0,2163384356.61,2022
2022-01-26,36829.37,37242.79,35543.94,37189.85,46006.99,1671118834.49,2022
2022-01-27,37189.85,38021.06,36176.78,37744.7,38853.31,1439590445.61,2022
2022-01-28,37744.7,38728.29,37343.45,38184.86,24097.29,913551592.58,2022
2022-01-29,38184.86,38364.51,37377.53,37908.44,17354.8,658154943.17,2022
2022-01-30,37908.44,38769.81,36660.7,38494.66,34716.41,1310842543.43,2022
2022-01-31,38494.66,39281.06,38033.98,38721.49,32504.03,1255765239.87,2022
2022-02-01,38721.49,38883.19,36650.8,36918.19,29144.5,1099971099.08,2022
2022-02-02,36918.19,37411.52,36270.47,37328.64,27541.76,1012101574.73,2022
2022-02-03,37328.64,41737.83,37060.18,41590.34,50443.53,1978064223.39,2022
2022-02-04,41590.34,41954.24,40963.47,41418.21,22244.16,923755180.09,2022
2022-02-05,41418.21,42671.81,41152.05,42412.41,14391.14,600848486.11,2022
2022-02-06,42412.41,44518.11,41689.77,43861.07,42425.21,1836978530.57,2022
2022-02-07,43861.07,45483.65,42704.39,44080.12,44964.2,1972336800.82,2022
2022-02-08,44080.12,44849.9,43167.21,44422.91,27461.26,1207982275.77,2022
2022-02-09,44422.91,45837.02,43254.41,43531.67,45532.09,2027452816.67,2022
2022-02-10,43531.67,43950.88,42010.61,42398.98,39322.02,1694547021.08,2022
2022-02-11,42398.98,43041.72,41775.79,42239.01,17662.13,747480841.84,2022
2022-02-12,42239.01,42773.35,41900.31,42069.84,12420.62,525779246.0,2022
2022-02-13,42069.84,42857.15,41581.41,42552.28,27975.8,1183004344.86,2022
2022-02-14,42552.28,44771.91,42452.02,44576.33,27548.28,1210638166.2,2022
2022-02-15,44576.33,44583.03,43361.09,43896.34,20597.85,905511530.54,2022
2022-02-16,43896.34,44187.88,40104.04,40545.09,39645.29,1669164372.28,2022
