Date,Open,High,Low,Close,Volume_From,Volume_To,Year
2013-04-26,136.9,139.88,122.71,128.0,59870.79,7853806.49,2013
2013-04-27,128.0,136.68,127.5,134.44,27503.11,3662548.48,2013
2013-04-28,134.44,149.08,133.0,144.0,70186.33,9983975.08,2013
2013-04-29,144.0,146.93,134.0,139.23,65198.58,9119200.99,2013
2013-04-30,139.23,140.06,104.0,116.38,179988.85,21787942.86,2013
2013-05-01,116.38,126.9,91.11,106.25,234129.17,24932099.53,2013
2013-05-02,106.25,109.0,79.0,98.1,246411.17,22496255.33,2013
2013-05-03,98.1,116.3,92.0,112.9,132582.59,14143158.98,2013
2013-05-04,112.9,118.85,107.0,115.98,84177.84,9553872.26,2013
2013-05-05,115.98,124.9,106.01,112.25,150048.99,17604384.72,2013
2013-05-06,112.25,114.0,97.52,109.61,139626.72,14898971.67,2013
2013-05-07,109.61,116.78,109.5,113.2,61680.32,6990518.96,2013
2013-05-08,113.2,113.72,108.8,112.8,26894.46,3003068.41,2013
2013-05-09,112.8,122.5,111.54,117.7,77443.67,9140709.08,2013
2013-05-10,117.7,118.74,113.0,115.64,28023.47,3238018.29,2013
2013-05-11,115.64,117.47,112.4,114.82,20575.19,2357929.41,2013
2013-05-12,114.82,118.88,114.5,117.98,26134.01,3058207.49,2013
2013-05-13,117.98,119.8,109.42,111.4,87726.09,10075279.73,2013
2013-05-14,111.4,116.44,103.02,114.22,117898.23,12997994.8,2013
2013-05-15,114.22,118.97,112.1,118.21,45071.68,5202992.37,2013
2013-05-16,118.21,125.56,116.57,123.5,79063.33,9600699.71,2013
2013-05-17,123.5,125.31,122.25,123.21,22615.72,2800255.89,2013
2013-05-18,123.21,124.5,119.5,122.5,20478.43,2495650.34,2013
2013-05-19,122.5,123.69,120.1,122.02,17238.12,2108418.94,2013
2013-05-20,122.02,123.08,121.1,122.89,13313.67,1628026.67,2013
2013-05-21,122.89,124.5,122.0,123.8,18198.48,2238395.81,2013
2013-05-22,123.8,126.93,123.0,126.3,22045.5,2762861.55,2013
2013-05-23,126.3,133.98,125.36,133.1,48649.99,6317090.66,2013
2013-05-24,133.1,133.5,128.2,131.99,16816.58,2200845.29,2013
2013-05-25,131.99,136.0,130.61,133.5,23327.21,3126240.29,2013
2013-05-26,133.5,135.47,124.0,130.64,46796.59,6052716.47,2013
2013-05-27,130.64,130.64,125.4,129.0,22748.7,2911329.39,2013
2013-05-28,129.0,132.72,127.6,132.25,19177.31,2500237.39,2013
2013-05-29,132.25,132.4,126.5,128.8,24566.45,3179031.6,2013
2013-05-30,128.8,130.0,126.33,128.82,16466.87,2110227.34,2013
2013-05-31,128.82,129.79,127.1,129.3,6309.92,810240.48,2013
