Date,Open,High,Low,Close,Volume_From,Volume_To,Year
2017-01-01,995.44,1031.68,990.2,1017.05,64951.63,66038073.34,2017
2017-01-02,1017.05,1035.47,1006.53,1033.3,54788.01,56085870.7,2017
2017-01-03,1033.3,1148.54,1022.32,1135.41,156272.17,170584623.04,2017
2017-01-04,1135.41,1150.63,874.53,989.35,240007.84,244839289.77,2017
2017-01-05,989.35,1027.42,852.55,886.16,194290.96,179160668.84,2017
2017-01-06,886.16,900.86,806.66,888.87,130663.09,113037531.71,2017
2017-01-07,888.87,936.13,875.85,900.86,76905.99,70298340.37,2017
2017-01-08,900.86,910.47,870.91,899.78,62579.5,55963281.18,2017
2017-01-09,899.78,911.32,890.12,904.37,53709.46,48644106.82,2017
2017-01-10,904.37,917.65,751.63,785.43,194436.54,160194109.8,2017
2017-01-11,785.43,828.21,739.55,810.11,120241.76,93986701.88,2017
2017-01-12,810.11,835.05,771.0,824.83,89861.97,72555875.62,2017
2017-01-13,824.83,838.9,808.27,819.63,44207.74,36594482.0,2017
2017-01-14,819.63,826.43,808.63,821.17,24401.41,20004735.1,2017
2017-01-15,821.17,836.66,817.7,827.34,33222.93,27592899.17,2017
2017-01-16,827.34,906.38,825.04,899.66,82207.99,72272727.15,2017
2017-01-17,899.66,913.67,845.87,872.03,69258.17,61042392.11,2017
2017-01-18,872.03,905.28,870.71,895.21,58440.87,52300814.98,2017
2017-01-19,895.21,901.49,878.9,892.91,38865.48,34847130.33,2017
2017-01-20,892.91,928.93,889.46,919.84,40378.21,37129176.59,2017
2017-01-21,919.84,938.38,888.62,918.84,47927.32,44074299.79,2017
2017-01-22,918.84,927.98,910.85,921.46,32744.43,30261054.5,2017
2017-01-23,921.46,925.61,889.15,893.75,58874.32,53468911.31,2017
2017-01-24,893.75,905.7,883.63,894.41,37902.18,34014866.15,2017
2017-01-25,894.41,919.32,893.49,915.56,33800.2,30795685.98,2017
2017-01-26,915.56,922.56,907.92,918.01,30968.49,28503144.41,2017
2017-01-27,918.01,921.89,912.84,918.51,14307.36,13251844.02,2017
2017-01-28,918.51,922.4,912.68,914.55,11052.31,10214368.33,2017
2017-01-29,914.55,922.35,911.51,920.73,19062.15,17604172.47,2017
2017-01-30,920.73,967.45,917.38,965.49,54670.21,51869216.53,2017
2017-01-31,965.49,986.57,959.82,982.43,45223.3,44035816.37,2017
2017-02-01,982.43,1009.13,973.5,1003.97,50863.87,50633910.56,2017
