Date,Open,High,Low,Close,Volume_From,Volume_To,Year
2015-01-01,314.89,316.4,313.08,315.21,14728.97,4673971.8,2015
2015-01-02,315.21,315.83,284.89,287.13,47366.46,14209564.7,2015
2015-01-03,287.13,289.94,255.87,264.72,88769.22,24255392.1,2015
2015-01-04,264.72,278.32,262.89,274.84,54993.28,14995382.75,2015
2015-01-05,274.84,285.11,271.52,282.27,21939.38,6097640.43,2015
2015-01-06,282.27,296.06,280.74,291.34,30666.87,8827164.0,2015
2015-01-07,291.34,292.71,278.99,282.69,20182.8,5796312.29,2015
2015-01-08,282.69,290.59,277.28,287.97,20924.65,5963203.51,2015
2015-01-09,287.97,289.25,271.98,273.35,14724.72,4147357.05,2015
2015-01-10,273.35,278.01,263.76,264.77,15111.35,4122751.52,2015
2015-01-11,264.77,273.08,263.3,269.33,25384.85,6899315.98,2015
2015-01-12,269.33,269.1,217.1,221.29,95497.81,22745960.68,2015
2015-01-13,221.29,230.86,157.29,164.92,170682.75,32911586.21,2015
2015-01-14,164.92,231.26,164.55,209.78,124666.16,25672423.81,2015
2015-01-15,209.78,222.63,198.72,206.92,62321.12,13208882.23,2015
2015-01-16,206.92,212.59,191.71,199.65,43131.44,8685194.65,2015
2015-01-17,199.65,220.73,192.51,210.62,40367.48,8429486.11,2015
2015-01-18,210.62,219.48,205.47,215.87,31578.61,6744459.25,2015
2015-01-19,215.87,216.57,203.42,210.55,37484.43,7926400.72,2015
2015-01-20,210.55,229.32,207.11,228.17,43184.11,9390361.66,2015
2015-01-21,228.17,238.78,225.57,232.7,53706.05,12508308.9,2015
2015-01-22,232.7,236.97,224.84,232.17,38166.88,8855407.23,2015
2015-01-23,232.17,248.88,229.58,248.16,33239.37,8011743.34,2015
2015-01-24,248.16,256.43,241.36,252.09,50188.59,12509649.52,2015
2015-01-25,252.09,310.91,251.5,269.18,105714.48,29806496.64,2015
2015-01-26,269.18,276.9,247.26,263.27,50260.04,13130803.27,2015
2015-01-27,263.27,267.66,228.06,236.17,63771.42,15880595.92,2015
2015-01-28,236.17,241.51,220.36,233.99,54485.72,12723448.2,2015
2015-01-29,233.99,244.83,227.19,231.84,48226.84,11316575.19,2015
2015-01-30,231.84,235.36,216.46,218.51,42154.24,9645307.86,2015
2015-01-31,218.51,231.44,209.71,225.29,41163.75,9058010.18,2015
2015-02-01,225.29,242.51,220.53,238.86,39015.62,8965813.6,2015
2015-02-02,238.86,247.48,223.91,227.41,63078.64,15000263.95,2015
2015-02-03,227.41,230.71,220.23,226.58,55242.53,12495299.13,2015
2015-02-04,226.58,229.85,214.35,216.52,40642.68,9055713.16,2015
2015-02-05,216.52,226.16,215.65,222.96,52515.37,11628519.32,2015
2015-02-06,222.96,231.0,222.38,227.68,39761.33,9046632.13,2015
2015-02-07,227.68,230.23,219.5,223.67,29048.5,6564922.66,2015
2015-02-08,223.67,225.0,215.66,220.34,91686.86,20192733.61,2015
2015-02-09,220.34,222.19,214.44,219.67,86145.83,18877297.99,2015
2015-02-10,219.67,223.53,217.28,218.83,71734.25,15909377.35,2015
2015-02-11,218.83,223.0,217.3,221.79,50109.53,11084499.87,2015
2015-02-12,221.79,241.58,220.62,236.17,112253.36,26243104.7,2015
2015-02-13,236.17,261.25,235.38,258.64,133796.04,33313626.71,2015
2015-02-14,258.64,264.57,226.56,233.27,179142.98,43921119.98,2015
2015-02-15,233.27,240.03,228.01,235.83,115467.55,27187677.11,2015
2015-02-16,235.83,247.17,232.03,243.2,116259.51,27926884.82,2015
2015-02-17,243.2,245.51,231.7,235.2,99662.48,23813015.67,2015
2015-02-18,235.2,244.11,234.87,241.92,66053.23,15852470.09,2015
2015-02-19,241.92,247.76,238.83,244.52,83584.59,20434846.7,2015
2015-02-20,244.52,247.32,242.65,244.41,42952.95,10570761.56,2015
2015-02-21,244.41,246.54,232.72,235.73,75700.07,18107359.63,2015
2015-02-22,235.73,240.06,231.33,238.82,62672.06,14856549.49,2015
2015-02-23,238.82,240.25,235.5,238.89,45034.29,10787951.21,2015
2015-02-24,238.89,239.64,234.59,237.33,38095.34,9092357.66,2015
2015-02-25,237.33,238.17,233.5,236.53,50871.35,12064967.48,2015
2015-02-26,236.53,258.72,235.7,253.47,167808.96,42282820.69,2015
2015-02-27,253.47,255.4,248.73,254.06,39409.14,9999594.97,2015
2015-02-28,254.06,260.65,244.77,257.94,51327.58,12964061.92,2015
2015-03-01,257.94,274.8,256.15,273.75,81093.26,21562624.62,2015
2015-03-02,273.75,287.06,266.12,280.65,164816.88,45650597.34,2015
2015-03-03,280.65,284.47,265.91,271.92,138996.99,38656923.75,2015
2015-03-04,271.92,280.84,262.81,275.23,123644.37,33599454.28,2015
2015-03-05,275.23,277.99,269.02,272.56,98796.9,27014943.36,2015
2015-03-06,272.56,278.25,269.41,274.91,60715.12,16708000.42,2015
2015-03-07,274.91,278.78,271.31,274.49,50400.9,13902830.08,2015
2015-03-08,274.49,293.26,273.79,290.02,151770.38,43259194.28,2015
2015-03-09,290.02,300.96,288.12,291.37,158177.83,46657647.9,2015
2015-03-10,291.37,297.66,288.88,295.6,79980.96,23542829.99,2015
2015-03-11,295.6,296.98,290.83,293.85,107321.48,31607747.19,2015
2015-03-12,293.85,294.92,286.08,287.21,97342.01,28288614.1,2015
2015-03-13,287.21,288.4,279.3,281.6,75719.87,21495879.21,2015
2015-03-14,281.6,286.39,280.37,284.88,39454.72,11238833.94,2015
2015-03-15,284.88,294.01,284.77,290.41,66339.57,19355605.15,2015
2015-03-16,290.41,292.46,283.25,285.38,65014.37,18775700.27,2015
2015-03-17,285.38,285.65,248.19,255.92,206739.42,55391241.42,2015
2015-03-18,255.92,264.8,247.0,260.93,180691.53,46525086.82,2015
2015-03-19,260.93,264.71,257.85,261.78,52832.95,13853175.66,2015
2015-03-20,261.78,263.26,254.02,259.71,51651.97,13413360.84,2015
2015-03-21,259.71,270.42,259.0,268.57,56633.33,14980752.09,2015
2015-03-22,268.57,271.01,259.38,265.46,81449.75,21749937.38,2015
2015-03-23,265.46,267.02,242.67,246.72,151085.48,38033136.19,2015
2015-03-24,246.72,249.21,234.84,246.37,131441.85,32092197.46,2015
2015-03-25,246.37,254.69,243.52,248.02,89470.97,22412560.34,2015
2015-03-26,248.02,250.05,244.47,247.21,62563.89,15543779.05,2015
2015-03-27,247.21,254.25,246.28,252.02,55058.15,13890988.51,2015
2015-03-28,252.02,252.81,238.93,242.08,77539.18,18971340.67,2015
2015-03-29,242.08,248.83,236.55,246.79,85332.75,20963830.56,2015
2015-03-30,246.79,248.7,241.18,244.15,75332.15,18515676.34,2015
2015-03-31,244.15,247.67,239.57,246.24,67076.52,16412525.86,2015
2015-04-01,246.24,254.85,244.25,252.6,81367.61,20354036.74,2015
2015-04-02,252.6,256.53,251.26,254.48,71738.22,18264452.59,2015
2015-04-03,254.48,255.24,250.31,252.89,30716.88,7805160.91,2015
2015-04-04,252.89,260.26,250.6,259.64,43829.64,11277271.88,2015
2015-04-05,259.64,261.45,252.32,254.97,45930.83,11857398.41,2015
2015-04-06,254.97,255.6,250.15,252.97,44793.41,11401051.13,2015
2015-04-07,252.97,254.26,242.57,244.57,102647.59,25401433.04,2015
2015-04-08,244.57,246.22,237.62,243.32,69191.17,16846896.21,2015
2015-04-09,243.32,244.11,231.3,234.73,100200.45,23728422.4,2015
2015-04-10,234.73,240.0,233.12,236.48,51985.54,12319489.65,2015
2015-04-11,236.48,237.52,232.27,235.85,33032.15,7814533.91,2015
2015-04-12,235.85,236.75,220.36,223.59,105151.51,23982950.79,2015
2015-04-13,223.59,224.72,214.27,217.99,115188.26,25315606.19,2015
2015-04-14,217.99,223.56,217.15,222.97,77228.44,17099352.43,2015
2015-04-15,222.97,229.53,222.87,227.98,84889.1,19315044.09,2015
2015-04-16,227.98,229.28,220.56,222.59,66924.16,15015559.02,2015
2015-04-17,222.59,224.47,220.57,223.35,36537.62,8152434.69,2015
2015-04-18,223.35,226.94,221.96,223.02,35495.15,7984589.44,2015
2015-04-19,223.02,226.72,221.58,224.24,44871.84,10082693.46,2015
2015-04-20,224.24,235.27,223.29,233.73,68344.58,15658818.31,2015
2015-04-21,233.73,238.4,231.8,233.78,77563.53,18280060.34,2015
2015-04-22,233.78,236.12,232.58,235.4,42449.83,9982620.64,2015
2015-04-23,235.4,236.55,229.06,231.09,69782.78,16221169.24,2015
2015-04-24,231.09,232.29,223.05,226.14,43784.18,10015666.23,2015
2015-04-25,226.14,226.72,214.14,218.7,100764.79,22088733.35,2015
2015-04-26,218.7,242.65,216.6,228.96,123411.71,27696437.64,2015
2015-04-26,218.7,242.65,216.6,228.96,123411.71,27696437.64,2015
2015-04-27,228.96,229.87,222.03,225.81,65971.19,14896418.52,2015
2015-04-28,225.81,227.24,222.25,225.42,60889.41,13743340.35,2015
2015-04-29,225.42,240.01,224.68,235.77,112238.62,26242196.77,2015
2015-04-30,235.77,239.42,232.38,233.21,60139.08,14178420.18,2015
2015-05-01,233.21,236.38,231.73,235.34,37075.6,8703582.59,2015
2015-05-02,235.34,243.58,233.8,239.99,55715.89,13389153.76,2015
2015-05-03,239.99,243.2,237.45,238.97,69115.5,16599243.56,2015
2015-05-04,238.97,239.61,231.78,235.82,77868.42,18333196.41,2015
2015-05-05,235.82,237.15,228.24,230.03,103664.18,24127653.28,2015
2015-05-06,230.03,240.25,228.33,237.73,91051.83,21315971.39,2015
2015-05-07,237.73,247.01,235.77,243.74,87502.6,21226000.84,2015
2015-05-08,243.74,247.87,238.52,241.4,62786.96,15281109.27,2015
2015-05-09,241.4,244.82,238.23,239.96,44003.2,10634289.99,2015
2015-05-10,239.96,243.95,238.86,241.81,57165.49,13819530.94,2015
2015-05-11,241.81,243.0,239.18,241.58,40080.32,9712214.4,2015
2015-05-12,241.58,243.91,234.07,236.38,84427.04,20329395.15,2015
2015-05-13,236.38,239.17,232.36,236.9,71016.47,16833656.66,2015
2015-05-14,236.9,238.83,235.53,237.2,46029.85,10932777.42,2015
2015-05-15,237.2,237.78,234.57,236.23,27053.46,6415070.12,2015
2015-05-16,236.23,237.77,235.35,236.3,28432.51,6738302.37,2015
2015-05-17,236.3,237.1,231.46,232.64,53141.78,12516261.2,2015
2015-05-18,232.64,234.5,231.27,232.02,40937.49,9550029.29,2015
