Date,Open,High,Low,Close,Volume_From,Volume_To,Year
2014-01-01,815.94,886.21,810.47,856.91,12811.63,10826907.96,2014
2014-01-02,856.91,888.23,839.44,884.26,9709.01,8409629.11,2014
2014-01-03,884.26,932.16,848.32,924.69,14239.01,12784626.88,2014
2014-01-04,924.69,1029.86,911.36,1014.74,21374.2,20789364.52,2014
2014-01-05,1014.74,1093.44,964.74,1012.65,23076.53,23622237.65,2014
2014-01-06,1012.65,1043.98,879.85,879.9,22665.1,21753921.59,2014
2014-01-07,879.9,966.9,858.9,938.84,14094.75,12942254.98,2014
2014-01-08,938.84,964.64,866.55,936.95,14414.95,13202619.46,2014
2014-01-09,936.95,964.84,905.88,957.76,6351.48,5909107.79,2014
2014-01-10,957.76,1010.84,935.0,1005.32,11181.63,10948175.25,2014
2014-01-11,1005.32,1022.67,922.07,939.79,9931.11,9620090.09,2014
2014-01-12,939.79,949.24,879.94,922.91,10132.38,9220891.88,2014
2014-01-13,922.91,942.47,904.19,919.28,4311.64,3960633.47,2014
2014-01-14,919.28,973.09,915.06,941.22,6828.58,6448062.43,2014
2014-01-15,941.22,955.53,910.5,913.49,5103.29,4720008.07,2014
2014-01-16,913.49,929.75,867.22,894.16,10312.23,9203107.31,2014
2014-01-17,894.16,924.74,884.74,905.72,6040.91,5493742.6,2014
2014-01-18,905.72,958.07,901.88,954.8,7571.24,7071649.38,2014
2014-01-19,954.8,980.54,925.96,955.95,10406.31,9981282.97,2014
2014-01-20,955.95,974.25,943.18,962.21,6584.71,6289022.19,2014
2014-01-21,962.21,973.94,934.95,950.95,4783.86,4503428.34,2014
2014-01-22,950.95,958.06,936.27,944.16,1973.42,1839615.29,2014
2014-01-23,944.16,949.52,902.89,916.55,6197.18,5684047.02,2014
2014-01-24,916.55,978.41,915.86,961.05,8181.23,7797108.54,2014
2014-01-25,961.05,1038.06,950.66,1007.0,13073.84,13054605.53,2014
2014-01-26,1007.0,1021.45,937.23,943.54,8327.15,8052715.48,2014
2014-01-27,943.54,972.61,911.65,932.68,10406.15,9757613.92,2014
2014-01-28,932.68,950.56,918.86,925.67,5678.19,5254878.58,2014
2014-01-29,925.67,953.24,909.46,941.39,5425.21,5026461.81,2014
2014-01-30,941.39,954.71,924.59,938.85,4310.07,4024749.63,2014
2014-01-31,938.85,969.19,927.8,940.42,4364.51,4118865.67,2014
2014-02-01,940.42,959.38,934.41,953.31,1583.28,1495327.62,2014
2014-02-02,953.31,959.58,931.67,931.71,2790.11,2601784.11,2014
2014-02-03,931.71,949.1,900.76,926.64,4608.88,4250751.67,2014
2014-02-04,926.64,939.75,890.05,904.52,7558.29,6865987.27,2014
2014-02-05,904.52,908.77,800.93,828.87,18599.16,15719958.05,2014
2014-02-06,828.87,833.07,651.73,695.65,49906.75,36412212.3,2014
2014-02-07,695.65,719.26,632.08,648.78,22876.3,15503790.63,2014
2014-02-08,648.78,694.12,622.53,659.57,19884.9,13186251.81,2014
2014-02-09,659.57,700.04,500.04,582.63,40130.05,24334044.2,2014
2014-02-10,582.63,609.71,550.22,578.96,16725.92,9621820.7,2014
2014-02-11,578.96,585.12,511.9,531.13,21301.39,11628634.59,2014
2014-02-12,531.13,549.2,451.33,451.44,28942.07,14394464.14,2014
2014-02-13,451.44,500.03,302.18,427.68,65819.68,25084223.33,2014
2014-02-14,427.68,447.94,310.08,371.07,50617.35,18299075.74,2014
2014-02-15,371.07,540.03,220.37,299.8,86180.34,26267622.78,2014
2014-02-16,299.8,411.21,263.36,272.28,51439.43,16532226.28,2014
2014-02-17,272.28,370.12,248.31,293.95,48878.18,14130126.78,2014
2014-02-18,293.95,308.63,257.24,261.53,31501.97,8618299.81,2014
2014-02-19,261.53,271.61,109.22,111.92,102183.77,16608347.18,2014
2014-02-20,111.92,160.15,91.66,111.56,82590.48,10115923.16,2014
2014-02-21,111.56,290.59,96.72,255.59,72170.05,11838225.02,2014
2014-02-22,255.59,349.15,220.31,310.17,38549.76,11158706.83,2014
2014-02-23,310.17,316.88,131.85,174.0,95118.82,17929284.9,2014
2014-02-24,174.0,174.64,102.33,135.78,30426.23,3993023.8,2014
2014-02-25,135.78,650.0,522.84,593.14,602.49,383571.24,2014
2014-02-26,593.14,629.9,580.5,596.49,497.8,322887.36,2014
